epoch,lr,train_loss,val_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
24,0.0001,2.2524627347787214,2.2446320923891934,1733580045,checkpoint_000024,True,False,25,4a35b_00000,2024-12-07_14-00-45,5.927674293518066,150.13778495788574,12070,519fe39d5365,172.28.0.12,150.13778495788574,25
25,0.0001,2.2488287414113683,2.2418758652426978,1733580050,checkpoint_000025,True,False,26,4a35b_00000,2024-12-07_14-00-50,5.695250034332275,155.83303499221802,12070,519fe39d5365,172.28.0.12,155.83303499221802,26
26,0.0001,2.2451972576479116,2.239207072691484,1733580056,checkpoint_000026,True,False,27,4a35b_00000,2024-12-07_14-00-56,5.338451623916626,161.17148661613464,12070,519fe39d5365,172.28.0.12,161.17148661613464,27
27,0.0001,2.241670940071344,2.2366298545490615,1733580062,checkpoint_000027,True,False,28,4a35b_00000,2024-12-07_14-01-02,6.081977605819702,167.25346422195435,12070,519fe39d5365,172.28.0.12,167.25346422195435,28
28,0.0001,2.238292147715887,2.234120401469144,1733580067,checkpoint_000028,True,False,29,4a35b_00000,2024-12-07_14-01-07,5.311539888381958,172.5650041103363,12070,519fe39d5365,172.28.0.12,172.5650041103363,29
29,0.0001,2.235009449223678,2.231674172661521,1733580073,checkpoint_000029,True,False,30,4a35b_00000,2024-12-07_14-01-13,5.869425296783447,178.43442940711975,12070,519fe39d5365,172.28.0.12,178.43442940711975,30
30,0.0001,2.2318209633231163,2.2292917099866,1733580079,checkpoint_000030,True,False,31,4a35b_00000,2024-12-07_14-01-19,5.6484599113464355,184.0828893184662,12070,519fe39d5365,172.28.0.12,184.0828893184662,31
31,0.0001,2.2287336761752763,2.22692888433283,1733580084,checkpoint_000031,True,False,32,4a35b_00000,2024-12-07_14-01-24,5.3312671184539795,189.41415643692017,12070,519fe39d5365,172.28.0.12,189.41415643692017,32
32,0.0001,2.2256160142521058,2.2247060645710337,1733580091,checkpoint_000032,True,False,33,4a35b_00000,2024-12-07_14-01-31,6.253000974655151,195.66715741157532,12070,519fe39d5365,172.28.0.12,195.66715741157532,33
33,0.0001,2.22276354332765,2.2225132422013716,1733580096,checkpoint_000033,True,False,34,4a35b_00000,2024-12-07_14-01-36,5.374806880950928,201.04196429252625,12070,519fe39d5365,172.28.0.12,201.04196429252625,34
